name,slug,price,reviewCount,ratingPercent,launchDate,latestUpdate,niches,url
"Atlas","atlas","$280","0","","February 20, 2026","","electronics","https://themes.shopify.com/themes/atlas/presets/atlas"
"Zap","zap","$320","0","","March 23, 2026","","food and drink","https://themes.shopify.com/themes/zap/presets/zap"
"Dynamic","dynamic","$290","0","","March 24, 2026","","beauty","https://themes.shopify.com/themes/dynamic/presets/dynamic"
"Prompt","prompt","$320","1","100","March 05, 2026","","electronics","https://themes.shopify.com/themes/prompt/presets/prompt"
"Pebble","pebble","$400","6","100","February 20, 2026","","kids","https://themes.shopify.com/themes/pebble/presets/pebble"
"Gentech","gentech","$360","1","100","March 19, 2026","","home","https://themes.shopify.com/themes/gentech/presets/gentech"
"Seventh","seventh","$420","2","100","March 31, 2026","","clothing","https://themes.shopify.com/themes/seventh/presets/seventh"
"Zeal","zeal","$290","2","100","March 27, 2026","","wellness","https://themes.shopify.com/themes/zeal/presets/zeal"
"Force","force","$380","2","100","March 10, 2026","","real results.; electronics","https://themes.shopify.com/themes/force/presets/force"
"Filo","filo","$140","0","","March 09, 2026","","clothing","https://themes.shopify.com/themes/filo/presets/filo"
"Zenith","zenith","$380","7","100","February 27, 2026","","high-visual brand storytelling.; clothing","https://themes.shopify.com/themes/zenith/presets/zenith"
"Poco","poco","$220","9","100","March 10, 2026","","food and drink","https://themes.shopify.com/themes/poco/presets/poco"
"Unity","unity","$150","5","100","March 05, 2026","","wellness","https://themes.shopify.com/themes/unity/presets/unity"
"Sweet","sweet","$320","0","","January 05, 2026","","food and drink","https://themes.shopify.com/themes/sweet/presets/sweet"
"Metro","metro","$250","2","100","February 04, 2026","","home","https://themes.shopify.com/themes/metro/presets/metro"
"Homage","homage","$250","0","","December 12, 2025","","an immersive brand experience with editorial-style layouts that transform your products into lifestyle statements.; clothing","https://themes.shopify.com/themes/homage/presets/homage"
"Victory","victory","$320","6","100","March 18, 2026","","all types of shops. Many elements are animated, which brings the site to life and gives it a very high-end professional feel. 10/10.; food and drink","https://themes.shopify.com/themes/victory/presets/victory"
"Vetro","vetro","$280","23","100","February 10, 2026","","beauty","https://themes.shopify.com/themes/vetro/presets/vetro"
"Flaunt","flaunt","$290","4","100","February 20, 2026","","a clean and timeless appeal.; clothing","https://themes.shopify.com/themes/flaunt/presets/flaunt"
"Mix","mix","$380","4","100","March 10, 2026","","electronics","https://themes.shopify.com/themes/mix/presets/mix"
"Supreme","supreme","$150","10","90","February 27, 2026","","clothing","https://themes.shopify.com/themes/supreme/presets/supreme"
"Fullframe","fullframe","$260","1","100","December 02, 2025","","home","https://themes.shopify.com/themes/fullframe/presets/fullframe"
"Stockist","stockist","$320","5","100","March 04, 2026","","office","https://themes.shopify.com/themes/stockist/presets/stockist"
"Maximize","maximize","$200","24","100","March 20, 2026","","electronics","https://themes.shopify.com/themes/maximize/presets/maximize"
"Zyra","zyra","$220","3","100","December 24, 2025","","clothing","https://themes.shopify.com/themes/zyra/presets/zyra"
"Krank","krank","$320","14","93","March 23, 2026","","hardware","https://themes.shopify.com/themes/krank/presets/krank"
"Line","line","$260","2","100","December 02, 2025","","beauty","https://themes.shopify.com/themes/line/presets/line"
"Flute","flute","$230","8","100","March 26, 2026","","clothing","https://themes.shopify.com/themes/flute/presets/flute"
"Purity","purity","$300","73","99","March 02, 2026","","beauty","https://themes.shopify.com/themes/purity/presets/purity"
"Beautify","beautify","$420","3","100","March 13, 2026","","beauty","https://themes.shopify.com/themes/beautify/presets/beautify"
"Elemento","elemento","$390","2","100","September 17, 2025","","clothing","https://themes.shopify.com/themes/elemento/presets/elemento"
"Lollipop","lollipop","$100","4","100","February 06, 2026","","beauty","https://themes.shopify.com/themes/lollipop/presets/lollipop"
"Haven","haven","$260","6","100","February 05, 2026","","home","https://themes.shopify.com/themes/haven/presets/haven"
